Branch,College_Tier,Attendance,CGPA,Backlogs,Coding_Skills,DSA_Score,Aptitude_Score,Communication_Score,Internships_Count,Projects_Count,Certifications_Count,Mock_Interview_Score,Placement_Probability,Placement_Status
EEE,Tier 1,95,9.81,1,76,67,60,83,3,5,5,48,93.08,Placed
MECH,Tier 1,70,9.74,3,57,42,45,84,3,2,6,55,69.33,Placed
MECH,Tier 3,74,9.03,4,63,50,40,65,1,5,0,75,44.68,Not Placed
EEE,Tier 2,78,9.96,3,53,77,43,52,1,3,0,87,69.6,Placed
AIML,Tier 1,66,7.95,2,73,100,50,40,3,2,4,90,58.54,Not Placed
CSE,Tier 1,87,9.83,4,97,53,83,63,2,1,5,72,80.4,Placed
AIML,Tier 1,64,5.84,5,51,90,65,49,2,2,8,94,5.68,Not Placed
IT,Tier 3,64,7.15,0,61,65,100,74,2,3,0,70,63.0,Placed
AIML,Tier 2,89,6.51,3,95,87,76,63,1,1,3,45,29.23,Not Placed
AIML,Tier 3,91,6.38,2,45,60,62,67,1,4,9,49,15.16,Not Placed
EEE,Tier 3,67,6.13,5,75,93,68,75,3,3,7,55,16.44,Not Placed
EEE,Tier 2,69,8.3,4,84,95,60,55,0,1,9,43,43.96,Not Placed
EEE,Tier 3,97,9.02,5,75,78,87,79,1,7,8,93,70.38,Placed
MECH,Tier 2,91,8.1,3,61,69,84,55,3,5,2,61,58.64,Not Placed
IT,Tier 1,87,6.16,1,53,98,84,98,3,2,1,52,43.45,Not Placed
EEE,Tier 2,76,9.15,3,55,47,88,56,0,1,3,55,51.85,Not Placed
CSE,Tier 1,90,8.36,0,100,90,66,90,2,2,1,91,89.36,Placed
MECH,Tier 3,67,7.25,3,75,59,78,93,3,5,0,68,49.77,Not Placed
ECE,Tier 3,99,8.53,4,95,87,79,54,3,1,2,45,68.17,Placed
CSE,Tier 1,84,6.67,4,64,71,52,55,3,4,6,65,17.02,Not Placed
CSE,Tier 3,68,7.05,3,71,61,62,54,2,7,0,50,32.24,Not Placed
EEE,Tier 2,61,9.63,4,72,98,98,96,2,7,1,63,91.32,Placed
ECE,Tier 1,74,6.81,1,84,46,55,73,0,3,0,68,30.1,Not Placed
ECE,Tier 3,62,7.61,5,75,48,69,50,1,1,7,42,16.1,Not Placed
MECH,Tier 1,95,9.51,3,59,84,100,40,2,5,4,91,83.01,Placed
ECE,Tier 2,63,8.68,1,57,40,43,54,1,1,7,49,47.06,Not Placed
IT,Tier 2,73,5.78,5,77,68,79,65,1,2,2,100,7.18,Not Placed
EEE,Tier 3,100,6.16,5,42,47,55,90,2,6,6,99,6.42,Not Placed
ECE,Tier 2,100,5.54,1,62,95,70,43,3,1,7,40,20.03,Not Placed
MECH,Tier 1,84,8.34,2,71,93,92,82,0,7,5,91,79.26,Placed
IT,Tier 2,69,7.51,3,84,43,81,44,1,7,6,82,40.61,Not Placed
AIML,Tier 1,80,6.1,5,98,74,64,74,3,7,1,65,22.61,Not Placed
AIML,Tier 1,95,9.81,5,55,98,83,52,2,4,7,97,74.69,Placed
IT,Tier 2,71,7.88,4,98,42,51,49,1,1,4,51,26.55,Not Placed
MECH,Tier 3,86,6.59,5,44,93,65,50,1,3,6,53,8.8,Not Placed
IT,Tier 2,99,7.75,1,43,84,76,57,1,1,0,64,46.54,Not Placed
EEE,Tier 1,61,8.56,5,60,79,87,73,3,6,4,47,60.94,Placed
EEE,Tier 1,72,5.84,2,79,46,72,78,3,7,0,82,27.29,Not Placed
AIML,Tier 2,91,6.74,3,90,66,67,80,3,2,7,43,35.6,Not Placed
ECE,Tier 3,90,9.13,3,53,40,48,81,1,7,3,67,57.72,Not Placed
MECH,Tier 3,75,7.57,5,78,66,51,89,1,1,3,46,21.26,Not Placed
AIML,Tier 1,91,7.96,0,70,55,44,62,0,4,1,49,54.55,Not Placed
ECE,Tier 1,91,7.45,0,53,77,93,46,0,5,4,90,57.72,Not Placed
ECE,Tier 3,93,5.7,1,45,46,91,98,3,1,0,96,19.37,Not Placed
EEE,Tier 2,70,6.25,0,51,83,93,78,3,1,8,97,44.68,Not Placed
CSE,Tier 1,69,7.5,1,55,62,67,42,2,3,4,75,41.92,Not Placed
CSE,Tier 1,74,6.44,4,56,80,95,51,3,4,5,41,21.54,Not Placed
IT,Tier 3,76,5.72,1,84,98,74,46,0,6,1,65,30.18,Not Placed
EEE,Tier 2,99,9.3,0,62,50,44,88,0,5,9,92,80.27,Placed
ECE,Tier 3,77,9.92,5,53,81,73,65,0,7,9,89,69.6,Placed
MECH,Tier 2,68,9.07,4,100,92,85,72,1,2,0,53,79.12,Placed
CSE,Tier 2,84,9.34,0,46,72,73,76,1,1,3,97,82.36,Placed
ECE,Tier 2,99,6.59,1,85,89,52,87,3,6,6,55,58.84,Not Placed
CSE,Tier 1,73,9.82,2,71,75,78,54,2,5,5,93,89.16,Placed
CSE,Tier 3,84,6.39,3,54,76,81,41,2,2,9,82,15.76,Not Placed
CSE,Tier 3,81,9.78,0,83,80,84,80,2,6,0,81,96.7,Placed
MECH,Tier 2,89,9.98,1,56,98,87,46,1,4,0,56,91.74,Placed
EEE,Tier 1,79,8.7,4,80,56,97,71,0,4,7,85,59.44,Not Placed
MECH,Tier 1,80,9.92,0,93,74,53,43,0,5,3,61,92.23,Placed
AIML,Tier 3,91,8.06,0,86,87,50,59,1,7,4,43,80.2,Placed
ECE,Tier 1,80,6.67,3,83,44,81,89,2,2,6,58,27.7,Not Placed
EEE,Tier 1,94,7.47,1,73,87,77,92,2,4,7,41,70.82,Placed
EEE,Tier 2,91,8.17,2,44,71,43,75,3,5,9,78,53.41,Not Placed
EEE,Tier 1,89,5.83,4,84,42,92,71,3,4,6,48,15.71,Not Placed
EEE,Tier 2,98,8.3,1,66,91,72,67,2,4,1,99,77.57,Placed
MECH,Tier 3,71,9.92,4,91,86,46,52,1,6,3,58,81.68,Placed
EEE,Tier 1,100,6.36,0,62,74,95,40,2,6,9,55,47.68,Not Placed
IT,Tier 3,77,9.07,3,79,91,80,99,3,4,0,93,87.71,Placed
ECE,Tier 3,80,9.59,3,98,53,47,95,2,3,9,64,82.42,Placed
EEE,Tier 1,72,9.75,5,53,87,76,74,1,6,8,87,72.26,Placed
ECE,Tier 1,80,9.82,2,54,100,90,87,0,2,2,57,87.85,Placed
IT,Tier 3,67,7.85,3,82,100,49,69,1,5,2,62,55.58,Not Placed
IT,Tier 1,99,9.9,0,72,70,82,93,1,5,9,92,95.27,Placed
ECE,Tier 2,66,8.91,2,92,70,96,75,3,7,8,60,91.45,Placed
CSE,Tier 2,82,6.23,1,70,56,54,96,1,2,9,50,23.65,Not Placed
AIML,Tier 1,91,7.65,3,74,99,77,94,1,2,2,78,55.47,Not Placed
CSE,Tier 3,70,8.73,2,56,63,54,64,3,2,7,80,62.22,Placed
CSE,Tier 1,81,6.61,0,67,91,44,55,3,7,1,43,53.72,Not Placed
MECH,Tier 1,81,8.38,5,58,62,68,97,0,2,2,64,30.54,Not Placed
CSE,Tier 3,84,8.5,4,85,57,58,58,2,1,1,71,44.99,Not Placed
EEE,Tier 3,81,6.23,4,93,89,93,40,1,7,0,69,28.12,Not Placed
MECH,Tier 2,87,8.04,0,62,93,90,44,3,5,1,84,83.19,Placed
MECH,Tier 3,88,8.97,0,71,53,49,90,0,1,7,98,74.3,Placed
IT,Tier 2,72,7.75,4,79,89,51,61,2,7,8,65,47.79,Not Placed
CSE,Tier 3,77,5.55,5,52,54,93,63,3,4,1,96,6.39,Not Placed
IT,Tier 1,61,5.54,2,98,54,43,82,2,4,6,100,17.37,Not Placed
ECE,Tier 2,88,7.11,4,59,45,70,84,2,5,4,75,22.4,Not Placed
AIML,Tier 2,80,9.67,0,74,66,57,91,1,4,2,90,91.55,Placed
MECH,Tier 2,74,6.53,3,44,54,55,76,1,2,8,73,9.97,Not Placed
ECE,Tier 1,86,8.35,1,48,89,79,92,3,7,5,48,84.16,Placed
ECE,Tier 1,90,6.5,5,68,75,75,75,2,1,0,51,12.95,Not Placed
EEE,Tier 1,74,6.95,5,45,94,64,75,3,2,4,41,17.31,Not Placed
AIML,Tier 1,82,9.32,3,64,47,62,43,3,4,6,77,66.43,Placed
ECE,Tier 1,83,8.78,3,70,54,51,75,2,6,3,44,63.39,Placed
ECE,Tier 2,72,5.93,0,61,42,73,91,3,1,7,44,27.53,Not Placed
AIML,Tier 1,81,7.43,4,41,86,75,92,2,2,9,91,29.23,Not Placed
AIML,Tier 2,96,5.63,2,84,52,76,57,2,7,4,61,21.61,Not Placed
ECE,Tier 1,92,7.66,5,44,80,42,89,2,5,8,44,22.47,Not Placed
AIML,Tier 3,62,8.48,5,99,73,48,55,2,2,8,98,45.4,Not Placed
ECE,Tier 2,78,6.03,3,66,63,100,80,0,6,8,43,20.16,Not Placed
ECE,Tier 3,82,6.8,4,64,79,92,57,2,4,0,100,26.39,Not Placed
EEE,Tier 2,88,7.29,5,47,71,57,61,1,1,1,48,10.38,Not Placed
CSE,Tier 3,89,9.64,2,94,100,82,41,1,5,2,68,91.89,Placed
ECE,Tier 1,98,9.97,3,40,71,74,60,1,1,3,61,69.68,Placed
IT,Tier 1,84,5.7,2,59,69,96,75,2,5,9,66,23.13,Not Placed
MECH,Tier 1,96,8.92,4,83,91,94,83,1,7,8,49,82.23,Placed
CSE,Tier 2,67,7.17,5,62,88,73,78,0,1,9,55,16.55,Not Placed
CSE,Tier 3,75,7.27,1,71,52,80,86,3,4,5,81,59.94,Not Placed
CSE,Tier 1,67,8.89,5,50,40,53,78,2,7,0,100,40.11,Not Placed
EEE,Tier 3,60,9.63,4,78,73,43,68,1,7,8,81,74.14,Placed
ECE,Tier 3,64,9.78,5,86,54,68,93,0,5,5,100,71.67,Placed
EEE,Tier 1,62,8.1,5,93,83,80,65,3,3,3,90,56.4,Not Placed
ECE,Tier 1,60,7.11,0,63,53,84,60,0,1,3,49,39.31,Not Placed
EEE,Tier 3,63,9.04,5,50,96,89,56,1,1,2,45,50.6,Not Placed
EEE,Tier 1,99,6.63,5,68,68,54,55,0,2,6,88,7.15,Not Placed
MECH,Tier 1,94,8.04,2,93,73,67,99,3,5,2,44,79.73,Placed
IT,Tier 1,91,7.11,1,65,57,81,70,1,6,1,97,48.62,Not Placed
EEE,Tier 2,93,8.45,2,55,93,55,90,3,3,9,45,71.84,Placed
MECH,Tier 3,84,6.58,2,74,46,51,48,0,4,7,98,15.32,Not Placed
AIML,Tier 3,69,6.36,3,59,68,91,70,2,2,3,95,20.57,Not Placed
IT,Tier 2,80,9.63,0,85,94,44,53,2,3,7,98,92.32,Placed
EEE,Tier 3,98,5.96,2,42,70,73,88,2,5,0,86,19.24,Not Placed
CSE,Tier 1,86,7.78,4,40,100,81,76,2,3,4,64,39.91,Not Placed
AIML,Tier 3,86,6.49,4,97,64,40,41,3,7,8,98,21.61,Not Placed
AIML,Tier 1,61,5.68,5,92,77,78,91,2,1,0,90,12.0,Not Placed
MECH,Tier 2,100,5.66,3,86,53,71,87,3,7,3,89,23.2,Not Placed
AIML,Tier 1,72,6.29,0,40,47,65,85,1,1,5,100,19.18,Not Placed
IT,Tier 3,68,9.4,0,56,66,56,53,2,2,9,43,82.17,Placed
EEE,Tier 3,95,6.77,5,41,93,87,98,3,5,7,79,25.66,Not Placed
EEE,Tier 3,81,9.78,4,68,41,98,72,2,5,2,98,79.12,Placed
CSE,Tier 2,85,8.12,1,59,56,66,74,2,3,4,87,60.74,Placed
MECH,Tier 2,71,7.46,3,45,76,63,97,2,2,6,71,33.34,Not Placed
CSE,Tier 3,76,8.11,5,47,53,74,78,3,5,0,95,33.71,Not Placed
AIML,Tier 1,73,7.83,3,68,64,85,97,0,6,6,90,53.1,Not Placed
CSE,Tier 2,73,8.91,4,87,95,81,86,2,6,7,91,83.01,Placed
IT,Tier 3,93,6.77,4,90,69,93,90,2,7,7,74,44.89,Not Placed
EEE,Tier 3,79,7.09,1,72,68,78,59,1,1,8,49,41.01,Not Placed
AIML,Tier 2,70,9.52,1,42,59,65,41,0,3,5,73,67.62,Placed
CSE,Tier 2,75,9.76,0,99,60,88,90,3,4,5,75,97.1,Placed
MECH,Tier 2,90,9.52,3,74,100,77,80,1,1,1,45,83.07,Placed
IT,Tier 1,65,7.39,3,44,92,62,58,2,2,2,82,28.8,Not Placed
IT,Tier 1,78,9.01,4,66,61,61,98,1,5,3,85,62.12,Placed
CSE,Tier 3,96,7.64,0,83,74,43,76,1,1,3,55,59.64,Not Placed
EEE,Tier 2,63,7.74,5,51,76,88,57,2,4,7,98,29.31,Not Placed
CSE,Tier 1,63,6.42,3,59,55,98,55,0,4,0,92,15.87,Not Placed
AIML,Tier 2,79,8.16,0,84,89,48,43,0,6,9,58,74.38,Placed
CSE,Tier 3,69,6.34,0,59,97,43,51,1,2,3,73,28.29,Not Placed
IT,Tier 1,83,6.99,4,48,88,46,68,2,1,3,64,14.74,Not Placed
CSE,Tier 1,94,9.35,0,78,82,62,46,3,3,0,70,91.05,Placed
EEE,Tier 1,85,6.43,1,43,56,41,53,1,1,2,88,11.31,Not Placed
MECH,Tier 3,96,5.82,1,90,55,88,94,3,6,4,80,47.06,Not Placed
ECE,Tier 2,97,5.81,2,93,97,63,51,1,7,5,56,30.89,Not Placed
CSE,Tier 1,80,9.73,4,58,94,79,74,1,4,8,86,78.85,Placed
EEE,Tier 3,99,7.78,5,77,41,94,44,2,2,8,69,25.9,Not Placed
EEE,Tier 2,98,7.34,2,66,43,70,56,2,2,8,78,31.52,Not Placed
MECH,Tier 3,80,9.15,1,84,60,86,97,3,3,0,93,91.45,Placed
IT,Tier 2,69,9.26,2,82,78,70,81,3,2,8,94,87.02,Placed
EEE,Tier 3,97,6.99,4,52,73,86,71,0,6,7,70,21.97,Not Placed
EEE,Tier 2,63,8.62,4,52,69,79,49,2,6,1,58,52.58,Not Placed
EEE,Tier 1,79,8.97,0,99,45,87,82,1,6,0,74,91.83,Placed
EEE,Tier 2,76,8.45,3,96,56,90,56,1,2,0,68,63.68,Placed
AIML,Tier 3,66,6.18,0,61,78,82,44,0,2,5,98,26.79,Not Placed
AIML,Tier 3,63,9.44,4,67,64,73,84,2,6,8,40,76.69,Placed
IT,Tier 2,88,7.93,1,91,44,94,81,1,2,6,43,69.42,Placed
CSE,Tier 1,73,6.77,5,86,44,63,48,0,2,4,67,8.37,Not Placed
EEE,Tier 1,62,7.41,1,92,59,88,88,0,4,1,57,63.97,Placed
MECH,Tier 2,83,5.67,0,84,55,99,72,1,1,0,65,30.89,Not Placed
CSE,Tier 2,96,6.08,5,61,90,65,75,1,5,1,79,10.5,Not Placed
MECH,Tier 3,75,8.94,4,82,80,55,75,3,2,0,58,68.08,Placed
CSE,Tier 1,63,5.5,1,58,76,96,57,2,5,2,94,24.72,Not Placed
IT,Tier 2,83,7.37,4,47,79,86,48,3,7,5,94,36.18,Not Placed
EEE,Tier 1,93,7.85,5,91,48,52,96,0,5,7,99,30.01,Not Placed
EEE,Tier 2,89,5.75,5,47,44,54,68,1,4,2,96,2.92,Not Placed
ECE,Tier 2,77,9.88,1,81,81,66,100,3,2,9,45,94.7,Placed
MECH,Tier 1,78,6.52,4,65,96,43,89,0,6,8,40,17.61,Not Placed
CSE,Tier 2,90,6.87,2,87,41,55,53,2,5,9,47,30.89,Not Placed
CSE,Tier 2,78,6.87,4,90,48,69,64,1,2,4,72,18.48,Not Placed
AIML,Tier 3,78,6.54,5,65,82,83,54,3,3,6,90,17.14,Not Placed
ECE,Tier 2,81,5.51,4,62,75,69,45,2,7,7,82,8.93,Not Placed
AIML,Tier 2,83,8.78,0,82,61,75,95,3,6,2,60,92.2,Placed
AIML,Tier 2,71,9.85,2,52,61,42,81,0,3,1,63,71.42,Placed
AIML,Tier 3,89,6.51,3,67,61,61,68,2,3,1,64,18.41,Not Placed
MECH,Tier 1,97,8.48,0,48,73,88,54,3,5,4,86,82.36,Placed
MECH,Tier 3,90,8.84,3,59,94,61,68,2,3,0,94,67.53,Placed
IT,Tier 3,95,9.32,1,95,68,89,43,0,4,1,96,87.71,Placed
IT,Tier 1,78,7.4,3,58,77,96,57,2,4,8,82,43.35,Not Placed
AIML,Tier 3,95,6.86,4,87,98,89,89,3,5,6,58,53.1,Not Placed
ECE,Tier 1,89,6.96,3,78,85,94,96,0,2,5,68,40.11,Not Placed
CSE,Tier 3,92,8.71,5,90,72,99,88,1,1,8,92,62.42,Placed
MECH,Tier 1,77,9.18,0,51,57,88,83,3,2,6,49,87.71,Placed
ECE,Tier 2,87,6.32,0,54,46,51,78,3,2,4,95,26.71,Not Placed
EEE,Tier 3,70,7.17,3,70,40,94,55,0,2,8,51,22.04,Not Placed
MECH,Tier 3,92,9.56,0,94,72,60,50,0,2,5,72,88.71,Placed
MECH,Tier 3,76,9.13,5,53,40,95,53,1,6,5,95,47.89,Not Placed
IT,Tier 3,65,9.93,0,50,63,43,42,3,1,3,46,84.04,Placed
CSE,Tier 2,63,8.89,3,65,43,70,90,0,6,0,56,61.04,Placed
CSE,Tier 3,79,7.27,2,81,43,83,89,1,3,4,100,44.27,Not Placed
EEE,Tier 2,86,8.16,2,66,100,70,81,1,7,8,100,74.61,Placed
EEE,Tier 2,74,8.47,1,50,57,97,77,0,2,7,97,64.26,Placed
MECH,Tier 2,65,5.85,0,77,66,62,84,3,7,7,99,45.92,Not Placed
AIML,Tier 2,73,7.95,3,73,82,93,81,2,4,4,49,66.05,Placed
IT,Tier 1,70,8.69,0,82,98,92,57,2,5,8,70,92.44,Placed
IT,Tier 1,98,6.25,4,58,71,59,97,1,5,2,99,13.62,Not Placed
MECH,Tier 3,68,9.01,5,45,72,54,59,2,6,2,45,44.68,Not Placed
ECE,Tier 1,85,8.13,0,85,67,62,97,2,6,0,56,85.08,Placed
AIML,Tier 1,75,9.78,0,91,81,67,87,0,4,8,89,94.63,Placed
MECH,Tier 3,64,5.69,2,77,80,55,64,1,2,5,76,14.27,Not Placed
AIML,Tier 3,69,6.69,5,88,94,76,96,3,7,1,57,42.02,Not Placed
AIML,Tier 3,62,8.21,3,81,75,60,77,1,7,7,65,63.78,Placed
AIML,Tier 1,72,6.83,0,67,99,54,52,0,1,8,88,38.52,Not Placed
MECH,Tier 1,89,8.71,2,40,45,56,43,2,3,8,93,43.96,Not Placed
IT,Tier 3,65,8.92,1,74,55,89,94,3,5,1,55,89.36,Placed
IT,Tier 2,76,5.96,5,79,73,76,53,1,3,1,47,8.57,Not Placed
AIML,Tier 3,78,7.81,2,47,62,52,72,2,1,6,63,34.56,Not Placed
ECE,Tier 2,94,7.79,2,98,89,58,67,1,6,3,52,69.33,Placed
CSE,Tier 2,85,7.16,2,91,81,69,91,3,7,0,68,69.6,Placed
MECH,Tier 3,64,9.7,0,93,63,84,76,1,5,7,71,95.18,Placed
CSE,Tier 3,88,9.22,0,86,95,57,47,1,3,1,63,89.28,Placed
ECE,Tier 3,96,8.64,1,95,88,53,83,1,6,2,55,86.6,Placed
MECH,Tier 1,79,8.71,4,46,52,75,73,2,1,4,50,40.11,Not Placed
AIML,Tier 2,80,7.58,4,50,95,75,83,3,3,2,71,42.02,Not Placed
IT,Tier 1,69,9.64,4,78,57,59,44,3,7,6,45,76.76,Placed
CSE,Tier 1,64,8.63,5,100,93,91,93,2,2,6,98,74.3,Placed
EEE,Tier 3,95,8.78,5,43,52,58,44,2,6,1,74,31.79,Not Placed
EEE,Tier 1,65,9.38,1,64,88,84,70,2,1,6,72,88.03,Placed
ECE,Tier 3,85,6.73,5,51,76,83,84,0,3,5,57,12.17,Not Placed
AIML,Tier 2,63,9.13,4,65,82,46,48,1,7,9,76,59.94,Not Placed
CSE,Tier 3,98,6.38,4,77,78,96,81,1,2,8,52,22.18,Not Placed
AIML,Tier 1,98,7.05,2,85,100,83,71,3,2,8,49,61.44,Placed
CSE,Tier 1,94,7.01,5,51,81,92,72,1,1,1,76,15.87,Not Placed
ECE,Tier 3,60,9.9,0,82,56,43,42,0,4,6,65,86.2,Placed
ECE,Tier 3,83,9.35,0,90,54,98,69,2,7,4,85,95.16,Placed
EEE,Tier 1,95,8.66,2,92,57,73,89,3,7,5,56,86.15,Placed
AIML,Tier 2,65,8.77,2,76,62,41,51,3,5,0,40,69.68,Placed
MECH,Tier 2,100,8.03,2,85,93,44,68,1,1,6,64,56.6,Not Placed
EEE,Tier 3,90,9.76,0,92,90,94,42,3,2,5,73,96.37,Placed
AIML,Tier 2,79,7.73,4,63,69,49,65,2,2,3,78,26.3,Not Placed
EEE,Tier 1,83,7.21,2,55,97,71,96,3,1,0,49,50.91,Not Placed
MECH,Tier 3,84,6.23,1,96,73,81,100,2,4,8,59,54.44,Not Placed
IT,Tier 1,95,9.04,2,52,97,80,69,0,5,3,46,77.42,Placed
IT,Tier 1,80,8.8,3,64,43,52,48,0,3,1,95,38.52,Not Placed
IT,Tier 2,89,7.23,2,100,42,78,65,2,1,7,55,44.48,Not Placed
IT,Tier 3,83,5.61,0,93,46,44,41,1,5,1,76,19.31,Not Placed
CSE,Tier 3,89,9.28,5,93,95,97,42,3,7,4,68,85.13,Placed
IT,Tier 2,81,5.55,2,96,57,49,85,1,5,5,99,17.8,Not Placed
MECH,Tier 1,87,8.67,5,91,81,49,43,3,6,7,51,58.74,Not Placed
ECE,Tier 1,66,9.87,3,93,46,77,64,0,2,0,56,78.71,Placed
ECE,Tier 1,94,7.47,1,43,79,66,90,0,3,0,87,42.94,Not Placed
CSE,Tier 1,87,6.56,5,50,45,99,52,0,1,3,59,5.98,Not Placed
IT,Tier 3,73,8.67,4,71,61,90,78,3,2,4,65,63.97,Placed
IT,Tier 3,69,9.18,2,88,97,60,83,0,6,8,87,86.98,Placed
IT,Tier 2,75,7.96,3,46,40,47,74,0,6,6,58,24.95,Not Placed
EEE,Tier 2,75,9.85,3,85,43,40,94,0,2,6,97,71.24,Placed
AIML,Tier 3,90,5.73,5,97,85,67,62,0,4,7,86,9.71,Not Placed
EEE,Tier 3,84,7.77,1,50,88,88,48,1,5,4,51,61.14,Placed
AIML,Tier 1,72,8.73,0,67,91,78,41,0,1,4,60,77.28,Placed
IT,Tier 1,65,9.38,2,93,89,53,100,0,1,0,81,84.38,Placed
IT,Tier 2,68,6.31,3,80,82,60,93,1,1,8,100,21.19,Not Placed
EEE,Tier 3,95,9.1,1,62,68,69,80,1,2,5,97,78.43,Placed
EEE,Tier 2,79,7.99,4,84,60,60,83,3,7,8,100,57.32,Not Placed
AIML,Tier 3,77,7.28,3,62,65,88,70,2,4,2,93,39.11,Not Placed
ECE,Tier 1,80,6.09,1,89,53,48,83,0,3,4,73,21.82,Not Placed
AIML,Tier 2,63,9.39,0,67,48,56,86,0,6,1,46,85.23,Placed
EEE,Tier 2,92,6.21,0,82,98,44,41,0,2,9,84,29.31,Not Placed
MECH,Tier 3,86,6.89,3,86,86,97,71,3,7,4,74,60.64,Placed
EEE,Tier 1,66,6.81,3,96,51,96,57,0,3,7,54,29.57,Not Placed
MECH,Tier 2,65,9.42,5,65,81,70,52,2,6,1,40,67.16,Placed
CSE,Tier 1,74,8.53,2,64,90,91,85,1,6,7,65,80.86,Placed
EEE,Tier 2,77,9.09,1,93,95,100,44,3,4,3,74,93.84,Placed
CSE,Tier 1,91,6.63,3,68,90,79,97,1,5,9,64,36.76,Not Placed
ECE,Tier 3,70,8.31,2,58,45,77,81,0,1,9,81,45.09,Not Placed
AIML,Tier 2,79,8.07,5,72,59,82,83,0,3,0,98,32.24,Not Placed
MECH,Tier 2,83,9.25,2,75,63,58,49,0,2,4,98,66.24,Placed
AIML,Tier 1,74,9.58,3,53,66,75,95,2,3,0,54,78.57,Placed
CSE,Tier 1,66,5.55,0,53,77,89,82,2,5,6,61,33.44,Not Placed
MECH,Tier 2,80,8.53,1,74,47,72,64,3,1,7,98,71.24,Placed
AIML,Tier 3,85,5.73,1,69,40,52,73,1,3,2,45,12.58,Not Placed
EEE,Tier 1,73,7.97,0,67,93,53,76,0,5,2,91,71.67,Placed
IT,Tier 1,96,6.79,3,56,88,95,69,0,2,6,54,25.27,Not Placed
CSE,Tier 1,80,6.88,1,42,88,72,46,0,4,3,63,29.14,Not Placed
AIML,Tier 2,77,7.09,3,55,63,68,45,0,7,2,60,21.68,Not Placed
CSE,Tier 2,64,8.3,5,85,86,82,93,2,6,7,46,66.15,Placed
CSE,Tier 2,62,7.0,3,69,46,88,94,1,2,2,96,28.29,Not Placed
MECH,Tier 2,82,8.8,2,91,58,75,42,1,1,6,100,67.71,Placed
MECH,Tier 3,85,7.32,0,68,61,97,52,3,6,1,68,71.84,Placed
IT,Tier 3,96,5.81,3,84,96,83,42,2,7,0,71,27.7,Not Placed
EEE,Tier 2,83,9.03,5,54,94,49,65,0,2,5,71,38.91,Not Placed
CSE,Tier 3,78,6.79,4,85,99,70,96,1,2,7,92,32.79,Not Placed
AIML,Tier 1,84,7.45,0,95,74,45,63,1,2,0,98,60.64,Placed
ECE,Tier 1,80,8.58,1,64,69,96,92,2,2,9,44,81.87,Placed
CSE,Tier 1,71,7.0,2,90,68,40,45,3,6,8,43,42.23,Not Placed
CSE,Tier 2,100,5.75,1,77,61,46,82,3,1,2,61,20.43,Not Placed
IT,Tier 1,92,7.18,5,81,50,97,99,0,7,2,57,31.16,Not Placed
EEE,Tier 3,63,9.75,5,98,59,66,97,3,5,3,74,84.21,Placed
ECE,Tier 2,66,8.39,1,86,68,60,88,1,3,0,56,75.7,Placed
MECH,Tier 3,81,8.52,0,92,90,67,81,3,4,8,89,91.67,Placed
MECH,Tier 1,92,8.35,1,93,80,55,51,0,7,2,89,76.24,Placed
AIML,Tier 1,76,6.4,3,91,81,95,88,1,3,9,95,37.63,Not Placed
ECE,Tier 1,83,7.38,1,97,73,85,75,3,3,3,63,74.61,Placed
MECH,Tier 2,93,8.88,2,77,40,62,41,3,4,0,41,68.17,Placed
AIML,Tier 3,87,5.96,2,62,70,91,50,2,7,3,52,26.39,Not Placed
EEE,Tier 2,100,6.75,4,64,69,59,78,0,6,0,93,16.84,Not Placed
AIML,Tier 2,98,6.74,2,81,87,77,73,3,1,4,54,45.92,Not Placed
MECH,Tier 1,81,7.44,1,46,57,93,65,2,4,4,44,50.29,Not Placed
IT,Tier 2,76,9.91,2,61,94,64,57,1,1,6,42,83.25,Placed
IT,Tier 2,93,5.8,0,56,97,67,60,2,6,7,76,36.47,Not Placed
IT,Tier 1,65,7.83,2,57,56,44,75,2,3,3,76,39.21,Not Placed
MECH,Tier 2,65,6.31,3,88,77,95,79,3,1,6,76,35.7,Not Placed
IT,Tier 1,93,9.87,0,80,53,60,91,3,6,3,42,95.36,Placed
ECE,Tier 1,60,6.01,4,49,62,57,85,3,6,2,74,11.74,Not Placed
EEE,Tier 1,69,7.32,3,49,64,86,83,2,5,5,91,38.42,Not Placed
AIML,Tier 1,80,8.82,1,96,54,45,61,1,4,3,62,76.08,Placed
AIML,Tier 2,64,8.67,1,46,85,96,92,0,5,2,99,80.2,Placed
MECH,Tier 1,61,7.4,1,87,95,68,98,2,3,8,67,73.41,Placed
IT,Tier 1,81,7.06,3,100,61,58,69,3,4,4,99,43.55,Not Placed
IT,Tier 2,61,7.29,3,89,42,72,89,0,3,6,69,32.52,Not Placed
CSE,Tier 2,69,6.69,3,77,95,40,82,1,5,5,57,29.06,Not Placed
EEE,Tier 3,93,6.42,0,66,94,84,100,0,7,9,97,59.54,Not Placed
ECE,Tier 2,75,7.67,5,91,58,42,99,3,6,4,91,40.41,Not Placed
AIML,Tier 2,98,6.71,0,72,96,81,69,2,3,6,75,61.24,Placed
CSE,Tier 3,81,6.79,1,40,83,60,47,2,4,5,72,29.57,Not Placed
CSE,Tier 2,71,8.46,5,83,73,74,73,3,4,9,65,58.43,Not Placed
MECH,Tier 2,83,9.86,2,92,74,80,96,2,3,1,87,93.62,Placed
